group	score_KO_HM_1	score_KO_HM_123	score_KO_HM_2	score_KO_HM_3	score_KO_Hpool_123	score_KO_LM_123	score_KO_Lpool_123	score_cDNA_HM_1	score_cDNA_HM_123	score_cDNA_HM_2	score_cDNA_HM_3	score_cDNA_Hpool_123	score_cDNA_LM_123	score_cDNA_Lpool_123	lfc_KO_HM_1	lfc_KO_HM_123	lfc_KO_HM_2	lfc_KO_HM_3	lfc_KO_Hpool_123	lfc_KO_LM_123	lfc_KO_Lpool_123	lfc_cDNA_HM_1	lfc_cDNA_HM_123	lfc_cDNA_HM_2	lfc_cDNA_HM_3	lfc_cDNA_Hpool_123	lfc_cDNA_LM_123	lfc_cDNA_Lpool_123	p_KO_HM_1	p_KO_HM_123	p_KO_HM_2	p_KO_HM_3	p_KO_Hpool_123	p_KO_LM_123	p_KO_Lpool_123	p_cDNA_HM_1	p_cDNA_HM_123	p_cDNA_HM_2	p_cDNA_HM_3	p_cDNA_Hpool_123	p_cDNA_LM_123	p_cDNA_Lpool_123	logP_KO_HM_1	logP_KO_HM_123	logP_KO_HM_2	logP_KO_HM_3	logP_KO_Hpool_123	logP_KO_LM_123	logP_KO_Lpool_123	logP_cDNA_HM_1	logP_cDNA_HM_123	logP_cDNA_HM_2	logP_cDNA_HM_3	logP_cDNA_Hpool_123	logP_cDNA_LM_123	logP_cDNA_Lpool_123	fdr_KO_HM_1	fdr_KO_HM_123	fdr_KO_HM_2	fdr_KO_HM_3	fdr_KO_Hpool_123	fdr_KO_LM_123	fdr_KO_Lpool_123	fdr_cDNA_HM_1	fdr_cDNA_HM_123	fdr_cDNA_HM_2	fdr_cDNA_HM_3	fdr_cDNA_Hpool_123	fdr_cDNA_LM_123	fdr_cDNA_Lpool_123	guides_good_KO_HM_1	guides_good_KO_HM_123	guides_good_KO_HM_2	guides_good_KO_HM_3	guides_good_KO_Hpool_123	guides_good_KO_LM_123	guides_good_KO_Lpool_123	guides_good_cDNA_HM_1	guides_good_cDNA_HM_123	guides_good_cDNA_HM_2	guides_good_cDNA_HM_3	guides_good_cDNA_Hpool_123	guides_good_cDNA_LM_123	guides_good_cDNA_Lpool_123	guides_KO_HM_1	guides_KO_HM_123	guides_KO_HM_2	guides_KO_HM_3	guides_KO_Hpool_123	guides_KO_LM_123	guides_KO_Lpool_123	guides_cDNA_HM_1	guides_cDNA_HM_123	guides_cDNA_HM_2	guides_cDNA_HM_3	guides_cDNA_Hpool_123	guides_cDNA_LM_123	guides_cDNA_Lpool_123
AAAS	0.92544	0.36315	0.033311	0.40828	0.29125	0.33062	0.096694	0.62966	0.4687	0.11411	0.24233	0.18406	0.24748	0.14111	-1.237695	-0.656664	1.2225700000000002	-1.789425	-1.2590165	0.490895	-0.59599	-0.809665	-1.26049	0.83148	-1.688615	-0.8378699999999999	-1.4889000000000001	-1.08824	0.92579	0.50948	0.09474	0.56723	0.46265	0.54733	0.22013	0.76712	0.6877	0.27645	0.48152	0.35121	0.46641	0.28632	0.03348751459692628	0.29287285986191436	1.0234666196080622	0.24624080799087028	0.3347474334965179	0.2617507468558773	0.6573207664125232	0.1151366943803092	0.1626009756579775	0.558383405725245	0.3173856696832665	0.4544331269259859	0.33123214671760676	0.5431483146180521	0.998643	0.999874	0.84589	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.978801	0.978752	0	1	2	1	2	3	1	1	2	2	2	2	3	2	4	4	4	4	6	5	6	5	6	5	6	6	6	6
ABTB1	0.96586	0.38806	0.31494	0.15044	0.69142	0.305	0.058694	0.22015	0.16975	0.037467	0.12158	0.060484	0.37026	0.91974	-0.5400149999999999	-0.21218399999999998	-0.20821000000000003	0.068829	-0.11567649999999999	0.0999027	0.22079	0.286795	0.63049	0.63498	0.24598199999999998	0.52217	0.37238000000000004	0.25068999999999997	0.96625	0.59644	0.53164	0.34303	0.74597	0.52803	0.15875	0.45445	0.37494	0.12583	0.29716	0.16284	0.5907	0.9198	0.014910493073618653	0.22443323846393318	0.27438235066808836	0.4646678966781735	0.12727863780405774	0.27734140234434346	0.7992862660359867	0.3425138922409401	0.42603822494894805	0.9002158033964223	0.5270096503233419	0.788238906292638	0.22863302914221936	0.03630659476198122	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.983214	0.999406	0.99906	0.980275	0.999828	0.960288	0.999996	0.999996	0	2	3	4	1	3	1	2	3	5	4	3	3	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6
ABTB2	0.047371	0.59322	0.19481	0.90404	0.98406	0.83778	0.93939	0.10221	0.0079514	0.0085468	0.68167	0.0036757	0.03961	0.21092	0.419865	0.130554	0.43039	0.03722	-0.0440165	-0.264455	-0.41284000000000004	0.693685	0.58666	0.59726	-0.280565	0.86602	0.3509	0.61866	0.15343	0.73636	0.401	0.92324	0.98386	0.89398	0.94026	0.26308	0.03323	0.036699	0.82107	0.015233	0.13106	0.38724	0.8140897149592855	0.13290981094897894	0.39685562737981767	0.03468538767735093	0.007066695830007413	0.048672197072982905	0.026752039004500194	0.5799121668127815	1.4784696587212889	1.435345769546244	0.08561981569688054	1.8172145579153167	0.8825298363798801	0.4120197885484702	0.95066	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.668651	0.670409	0.999828	0.395743	0.827718	0.995753	3	2	3	1	0	1	0	4	5	5	2	5	5	3	6	6	6	6	6	6	6	6	6	6	6	6	6	6
ADRM1	0.37567	0.57574	0.73537	0.91536	0.68752	0.67752	0.50092	0.040199	0.67289	0.49647	0.092672	0.36072	0.21765	0.090344	-0.052895	0.023280000000000002	9.399999999999686e-5	-0.388145	0.023975500000000004	-0.182915	-0.15715	0.611785	0.21360099999999999	0.28086	0.32504500000000003	0.32761	0.50001	0.60597	0.60111	0.72391	0.84379	0.92875	0.74377	0.80869	0.64457	0.13431	0.80483	0.71426	0.24725	0.53211	0.43446	0.20973	0.22104604709594078	0.14031542404177902	0.07376562587349507	0.03210117323136831	0.12856134291333673	0.09221792720182434	0.19072991157213404	0.8718916508968925	0.09429584368025827	0.14614367056101613	0.606863699730783	0.27399857925605176	0.3620502021357907	0.6783394431513297	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.940995	0.99906	0.996673	0.999828	0.999996	0.975426	0.935274	2	1	2	1	1	2	2	5	2	2	2	1	3	3	6	6	6	6	6	6	6	6	6	6	6	6	6	6
AFP	0.65374	0.49298	0.17948	0.17611	0.17459	0.75237	0.60572	0.095815	0.31948	0.28009	0.036691	0.25345	0.75375	0.15905	-0.17329499999999998	-0.130794	-0.18198	0.20177499999999998	0.2763335	-0.7332350000000001	-0.29911	0.339205	0.192585	-0.77499	0.501215	0.36827	0.205547	0.37544999999999995	0.79954	0.6654	0.38312	0.38563	0.33572	0.85783	0.71311	0.25197	0.54135	0.51388	0.12464	0.44621	0.85771	0.31273	0.09715980415699034	0.1769172034671963	0.4166651759654487	0.4138291876124218	0.47402278555893207	0.06659876970031181	0.14684347336232675	0.5986511640202198	0.26652185888481156	0.28913828455001195	0.9043425596715108	0.3504607009814642	0.06665952647417123	0.5048304551513328	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.999996	0.991135	2	2	1	3	2	2	1	3	3	1	5	3	2	2	6	6	6	6	6	6	6	6	6	6	6	6	6	6
AKTIP	0.049979	0.057303	0.26229	0.31162	0.073667	0.32488	0.5766	0.28497	0.96181	0.93194	0.52517	0.93004	0.68283	0.50088	0.053685	0.044892	0.28306	-1.4488249999999998	0.08622350000000001	-1.162855	-1.09565	-0.36334500000000003	-0.33958999999999995	-0.44527000000000005	-0.701515	-0.0915	-0.33523000000000003	-0.09995000000000001	0.16062	0.15982	0.47612	0.53781	0.18217	0.54801	0.7022	0.5196	0.96253	0.94106	0.74057	0.9305	0.81039	0.6439	0.7942003784294237	0.7963688736694875	0.3222835750741035	0.269371126797651	0.7395231416725769	0.26121151650615254	0.15353917487066757	0.2843308575990098	0.01658572557903102	0.026382685990165463	0.1304338849119452	0.031283622533214185	0.09130592669468406	0.19118157490787574	0.951349	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.999996	0.999996	4	3	2	2	2	1	1	2	0	1	2	0	1	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6
AMBRA1	0.36726	0.03776	0.11036	0.10956	0.1726	0.36062	0.47291	0.25672	0.0053296	0.0054738	0.064266	0.051927	0.26063	0.29271	0.214415	-0.172114	0.087991	-0.399215	-0.3798765	-0.368585	-0.55897	-0.41818500000000003	0.40352	1.00607	0.935495	-0.08326	0.43508	-0.07999	0.58415	0.11785	0.253	0.27202	0.33297	0.58317	0.6192	0.49259	0.024007	0.022157	0.17431	0.14295	0.48033	0.46662	0.2334756189704777	0.9286704131396575	0.5968794788241821	0.5653991637219795	0.47759489388520204	0.23420482551582317	0.20816905232516383	0.3075144089583478	1.6196621075335096	1.65448904230305	0.758677697111227	0.8448158403059923	0.3184602877570877	0.33103665066123195	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.578383	0.593762	0.999828	0.951093	0.98873	0.999996	2	3	3	3	2	2	2	3	4	4	4	4	3	2	5	6	5	6	6	6	6	6	6	5	5	6	6	6
AMFR	0.15655	0.033788	0.6842	4.4749e-4	0.0025189	0.35057	0.42361	0.067869	0.43168	0.20231	0.57842	0.73605	0.0058021	0.061966	0.680255	0.515456	-0.21457	0.928135	0.5019835	0.135357	0.148869	0.09167	-0.38661	0.083227	-0.382115	-0.5485899999999999	0.8606699999999999	0.6796500000000001	0.35399	0.10857	0.8081	0.0021462	0.010362	0.57329	0.57661	0.20038	0.65255	0.42762	0.76781	0.78308	0.02543	0.1655	0.4510090063531986	0.9642901621721383	0.09253489323414378	2.668329809467387	1.9845564120488977	0.2416256336355745	0.23911783002419065	0.6981456277304133	0.18538620599404024	0.3689419908194027	0.11474623590637431	0.10619386784783091	1.5946536398242912	0.7812020018882624	0.998643	0.991671	0.999582	0.150339	0.431776	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.735204	0.935274	4	4	1	6	3	2	2	3	3	4	2	1	5	3	6	6	6	6	6	6	6	6	6	6	6	6	6	6
ANAPC1	0.95744	0.21743	0.15757	0.031645	0.36499	0.7045	0.80171	0.91995	0.53703	0.81458	NA	0.73864	0.89667	0.99162	-4.606095000000001	0.777886	2.16607	4.559875	0.5865834999999999	0.044723	-0.86931	-3.232595	-1.3711900000000001	-5.47476	NA	-1.7899699999999998	-2.4682	-2.89404	0.9579	0.27503	0.15728	0.031543	0.36511	0.70403	0.80345	0.91978	0.54506	0.81569	NA	0.73871	0.89656	0.99205	0.01867982674089269	0.560619931173937	0.8033264995119396	1.501097004048135	0.43757627199318133	0.15240883438507244	0.09504114491152955	0.036316038101915735	0.26355568811849084	0.08847486191919543	NA	0.13152602184618073	0.047420641074499836	0.0034664385546242936	0.998643	0.999874	0.9653	0.609206	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	NA	0.999996	0.999996	0.999996	0	1	1	1	0	0	0	0	1	0	NA	0	0	0	2	2	1	1	1	2	1	2	2	1	NA	2	2	2
ANAPC10	0.053819	0.91989	0.99595	0.2005	0.99817	0.96726	0.99974	0.090312	0.95965	0.99287	0.036376	0.99976	0.99678	0.99995	-1.420895	-1.745784	-4.078530000000001	-0.256115	-2.4643165000000002	-2.767355	-3.65035	-0.739625	-3.52449	-4.31496	-1.740715	-3.9869700000000003	-2.2142999999999997	-2.74534	0.13898	0.92042	0.99583	0.32079	0.99815	0.96778	0.99975	0.2315	0.95955	0.99292	0.11026	0.99981	0.9967	0.99996	0.857047692656568	0.03601395302461474	0.0018147944712800818	0.4937791784567947	8.041888958234434e-4	0.014223357200930827	1.085871944407351e-4	0.635449004646028	0.017932390226756103	0.0030857413919970094	0.9575820118567497	8.252379157010987e-5	0.0014355417390583397	1.7372126720998196e-5	0.948155	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.98308	0.999996	0.999996	0.999996	1	1	0	2	0	0	0	1	0	0	2	0	0	0	4	6	5	3	5	6	5	5	5	3	5	5	5	5
